TimeStamp	POS_X	POS_Y	POS_Z
329483154	-78.7794208	2.5	4.993
329683074	-78.7794272	2.5	4.994
329882994	-78.7794335	2.5	4.99
330082914	-78.7794397	2.5	4.987
330282834	-78.7794461	2.5	4.99
330482754	-78.7794524	2.5	4.989
330682674	-78.7794586	2.5	4.988
330883427	-78.779465	2.5	4.984
331083347	-78.7794712	2.5	4.977
331283267	-78.7794773	2.5	4.976
331483187	-78.7794835	2.5	4.978
331683107	-78.7794897	2.5	4.981
331883027	-78.7794961	2.5	4.998
332082947	-78.7795024	2.49	5.003
332282867	-78.7795086	2.49	5.005
332482787	-78.779515	2.49	5.004
332682707	-78.7795213	2.49	5.001
332883460	-78.7795275	2.48	4.986
333083380	-78.7795338	2.48	4.978
333283300	-78.77954	2.48	4.981
333483220	-78.7795462	2.48	4.998
333683140	-78.7795525	2.48	5.006
333883060	-78.7795587	2.47	5.004
334082980	-78.7795651	2.47	5.002
334282900	-78.7795714	2.47	4.982
334482820	-78.7795776	2.47	4.973
334682740	-78.7795838	2.47	4.972
334883493	-78.77959	2.47	4.977
335083413	-78.7795962	2.47	4.987
335283333	-78.7796025	2.47	5.002
335483253	-78.7796087	2.47	5.003
335683173	-78.7796151	2.47	5.002
335883093	-78.7796214	2.47	4.983
336083013	-78.7796276	2.47	4.976
336282933	-78.7796338	2.47	4.975
336482853	-78.77964	2.47	4.985
336682773	-78.7796463	2.47	4.997
336882693	-78.7796525	2.47	5.0
337083446	-78.7796589	2.47	4.996
337283366	-78.7796652	2.47	4.988
337483286	-78.7796714	2.47	4.969
337683206	-78.7796776	2.47	4.968
337883126	-78.7796839	2.46	4.966
338083046	-78.7796901	2.46	4.985
338282966	-78.7796963	2.46	4.995
338482886	-78.7797027	2.46	4.996
338682806	-78.779709	2.46	4.995
338882726	-78.7797152	2.46	4.992
339083479	-78.7797216	2.46	4.988
339283399	-78.7797279	2.46	4.971
339483319	-78.7797341	2.46	4.967
339683239	-78.7797403	2.46	4.974
339883159	-78.7797466	2.46	4.992
340083079	-78.7797528	2.46	4.994
340282999	-78.7797592	2.46	4.993
340482919	-78.7797655	2.46	4.992
340682839	-78.7797717	2.46	4.992
340882759	-78.7797781	2.46	4.997
341082679	-78.7797844	2.46	4.994
341283432	-78.7797906	2.46	4.994
341483352	-78.779797	2.46	4.993
341683272	-78.7798033	2.46	4.982
341883192	-78.7798095	2.46	4.979
342083112	-78.7798158	2.46	4.996
342283032	-78.779822	2.46	5.002
342482952	-78.7798284	2.46	5.003
342682872	-78.7798346	2.45	5.003
342882792	-78.7798409	2.45	5.003
343082712	-78.7798471	2.45	4.987
343283465	-78.7798533	2.45	4.977
343483385	-78.7798597	2.45	4.98
343683305	-78.7798658	2.45	4.987
343883225	-78.7798722	2.45	5.002
344083145	-78.7798785	2.45	5.004
344283065	-78.7798847	2.45	4.997
344482985	-78.7798909	2.45	4.993
344682905	-78.7798973	2.45	4.964
344882825	-78.7799035	2.45	4.934
345082745	-78.7799096	2.46	4.889
345282665	-78.7799156	2.46	4.819
345483418	-78.7799216	2.46	4.746
345683338	-78.7799273	2.46	4.662
345883258	-78.7799332	2.46	4.565
346083178	-78.7799387	2.46	4.455
346283098	-78.7799441	2.46	4.332
346483018	-78.7799493	2.46	4.194
346682938	-78.7799543	2.46	4.034
346882858	-78.7799591	2.47	3.859
347082778	-78.7799634	2.47	3.666
347282698	-78.7799677	2.47	3.475
347483451	-78.7799716	2.47	3.282
347683371	-78.7799754	2.47	3.089
347883291	-78.7799788	2.47	2.887
348083211	-78.7799819	2.47	2.677
348283131	-78.7799849	2.47	2.443
348483051	-78.7799874	2.47	2.18
348682971	-78.7799897	2.47	1.873
348882891	-78.7799916	2.47	1.534
349082811	-78.7799929	2.47	1.236
349282731	-78.7799941	2.47	1.008
349483484	-78.7799948	2.47	0.8520001
349683404	-78.7799957	2.47	0.734
349883324	-78.7799964	2.47	0.632
350083244	-78.779997	2.47	0.535
350283164	-78.7799974	2.47	0.435
